hear,heard
run,ran
is,was
understand,understood
stand,stood
study,studied
be,been
anodyze,anodized
lag,lagged
the,at the
come,came
copy,copied
tell,told
enter,entered
is it,was it
choose,chose
lead,led
light,lit
pay,paid
teach,taught
do,did
say,said
see,saw
eat,ate
find,found
take,took
think,thought
write,wrote
apply,applied
get,got
go,went
undergo,underwent
have,had
sleep,slept
make,made
catch,caught
know,knew
has,had
grow,grew
fly,flew
sit,sat
build,built
drive,drove
become,became
leave,left
destiny,destined
mean,meant
rise,rose
keep,kept
feel,felt
give,gave
stick,stuck
begin,began
develop,developed
prefer,preferred
transfer,transferred
isn't,wasn't
fall,fell
meet,met
sing,sang
ring,rang
spring,sprang
sting,stung
swing,swung
cling,clung
bring,brought
buy,bought
fight,fought
seek,sought
pain,pained
*ay,ayed
*ey,eyed
*oy,oyed
*!.b,bbed
*!.d,dded
*!.m,mmed
*tir,tirred
*ic,icked
*!.g,gged
*!.n,nned
*!.z,zzed
*cur,curred
*ly,lied
*!.t,tted
*dy,died
*py,pied
*e,ed
*ry,ried
*wer,wered
*ol,olled
*fy,fied
*!.p,pped
*,ed
